date,content,user,geo_tag
2017-01-08 19:33:10+00:00,Transaction fee on e-payments is bad concept post demonetization. Why consumers are forced to pay extra for Govt. of India bad planning.,"{'username': 'vijaysardana', 'id': 43716433, 'displayname': 'Vijay SARDANA', 'description': 'Advocate, Supreme Court of India & NGT, Techno-Legal & Techno-commercial Expert in Economic matters,  Corporate Governance Advisor & Trainer.', 'rawDescription': 'Advocate, Supreme Court of India & NGT, Techno-Legal & Techno-commercial Expert in Economic matters,  Corporate Governance Advisor & Trainer.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 5, 31, 17, 1, 27, tzinfo=datetime.timezone.utc), 'followersCount': 2873, 'friendsCount': 209, 'statusesCount': 10239, 'favouritesCount': 463, 'listedCount': 21, 'mediaCount': 889, 'location': 'Travels All Over.', 'protected': False, 'linkUrl': 'http://www.sardanavijay.blogspot.in', 'linkTcourl': 'https://t.co/kNX1790YF8', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3124141136/d2c5988e44c2a38f3d1a06352e8a752e_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/43716433/1359030552', 'label': None}",New Delhi
2017-01-08 16:55:54+00:00,"What did we achieve by #Demonetization? 
150+ Deaths, Huge Inconvenience to common people, Economic Slowdown
Lakhs of people lost their Job","{'username': 'LaraibNeyazi', 'id': 206594971, 'displayname': 'Syed Laraib Neyazi 💙', 'description': 'Proud Indian Muslim🇮🇳 | Student of @jmiu_official 👨\u200d🎓🥇Gender Studies | Believe in Secularism | Peace | Love | Travel Enthusiast ✈️| Gender Equality 🌱🌍🌱', 'rawDescription': 'Proud Indian Muslim🇮🇳 | Student of @jmiu_official 👨\u200d🎓🥇Gender Studies | Believe in Secularism | Peace | Love | Travel Enthusiast ✈️| Gender Equality 🌱🌍🌱', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 10, 23, 8, 52, 57, tzinfo=datetime.timezone.utc), 'followersCount': 6612, 'friendsCount': 753, 'statusesCount': 59061, 'favouritesCount': 111986, 'listedCount': 0, 'mediaCount': 6944, 'location': 'New Delhi,Patna,Ara (Bihar)', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1451245601845174273/H1oM766g_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/206594971/1641652384', 'label': None}",New Delhi
2017-01-08 16:53:58+00:00,"Another setback to the demonetization drive as petrol pumps refuse plastic money from midnight today.
 #मेरा_बस_चले","{'username': 'imsyedsuhail', 'id': 83112060, 'displayname': 'Syed Suhail🇮🇳', 'description': 'Journalist @News18 India | ITA,ENBA, Narad Samman Winner | Aadhi Haqeeqat Aadha Fasana | Views are personal, RTs not endorsement.', 'rawDescription': 'Journalist @News18 India | ITA,ENBA, Narad Samman Winner | Aadhi Haqeeqat Aadha Fasana | Views are personal, RTs not endorsement.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 10, 17, 11, 27, 6, tzinfo=datetime.timezone.utc), 'followersCount': 2068, 'friendsCount': 270, 'statusesCount': 4691, 'favouritesCount': 741, 'listedCount': 15, 'mediaCount': 1194, 'location': 'Delhi', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1248272369338081281/dxqb0o4b_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/83112060/1586445155', 'label': None}",New Delhi
2017-01-07 18:01:33+00:00,@htTweets may be it would be a correct analysis but congress people has lost credibility to oppose Demonetization initially..,"{'username': 'vinodmishra64', 'id': 22483220, 'displayname': 'Vinod Mishra', 'description': 'हार नहीं मानूंगा Never give up\n Sr. TV  Journalist', 'rawDescription': 'हार नहीं मानूंगा Never give up\n Sr. TV  Journalist', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 3, 2, 13, 28, tzinfo=datetime.timezone.utc), 'followersCount': 1425, 'friendsCount': 637, 'statusesCount': 6906, 'favouritesCount': 3343, 'listedCount': 0, 'mediaCount': 2131, 'location': 'Delhi', 'protected': False, 'linkUrl': 'http://hamargam.blogspot.in/', 'linkTcourl': 'https://t.co/KAi86EWEa0', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1463041261665808387/sCh8itfs_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/22483220/1596970984', 'label': None}",New Delhi
2017-01-07 11:06:33+00:00,PM @narendramodi begins his speech at @BJP4India #NationalExecutive Focus on demonetization &amp; UP polls @NewsX @MVenkaiahNaidu @AmitShah,"{'username': 'payalmehta100', 'id': 104473820, 'displayname': '🦏 Payal M/પાયલ મેહતા/ पायल मेहता/ পাযেল মেহতা', 'description': 'Senior Editor Politics @ani', 'rawDescription': 'Senior Editor Politics @ani', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2010, 1, 13, 12, 54, 31, tzinfo=datetime.timezone.utc), 'followersCount': 38874, 'friendsCount': 1347, 'statusesCount': 57388, 'favouritesCount': 20883, 'listedCount': 127, 'mediaCount': 14282, 'location': 'Noida, India', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1507063386852380678/WMMLFYVJ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/104473820/1617503772', 'label': None}",New Delhi
2017-01-07 07:06:45+00:00,Poor ATM at Delhi Airport had no takers from this big gathering of passengers. #Demonetization https://t.co/jFdq28ycKj,"{'username': 'SaurabhKumar1', 'id': 75801567, 'displayname': 'Saurabh Kumar IRS', 'description': '2009 Batch IRS, St. Stephen’s College alumni, Sanskrit Scholar, Technology Enthusiast, IVLP Fellow, Sports Lover.', 'rawDescription': '2009 Batch IRS, St. Stephen’s College alumni, Sanskrit Scholar, Technology Enthusiast, IVLP Fellow, Sports Lover.', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2009, 9, 20, 14, 57, 29, tzinfo=datetime.timezone.utc), 'followersCount': 6779, 'friendsCount': 922, 'statusesCount': 3582, 'favouritesCount': 3217, 'listedCount': 26, 'mediaCount': 403, 'location': 'New Delhi', 'protected': False, 'linkUrl': 'http://www.saurabhkumar.in', 'linkTcourl': 'https://t.co/vmUoOcpFJx', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1470024146989895681/YA0TYxrr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/75801567/1484212807', 'label': None}",New Delhi
2017-01-07 06:58:10+00:00,Demonetization has brought India's Mothers &amp; Daughters to their knees #नाकामयाब_NoteBandi @ajaymaken @Sharmistha_GK @iammqh @bhagatbidhuri https://t.co/v8LhgjV8lg,"{'username': 'shubhpilot', 'id': 450555578, 'displayname': 'Shubham Sharma 🇮🇳', 'description': 'Entrepreneur |Former National Coordinator : AIUWC Dept, AICC | AIPC Fellow |\n#Crypto, #Trading, #ShibaArmy l \nViews & Opinions Are Personal', 'rawDescription': 'Entrepreneur |Former National Coordinator : AIUWC Dept, AICC | AIPC Fellow |\n#Crypto, #Trading, #ShibaArmy l \nViews & Opinions Are Personal', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 12, 30, 11, 19, 44, tzinfo=datetime.timezone.utc), 'followersCount': 5402, 'friendsCount': 2484, 'statusesCount': 112496, 'favouritesCount': 56658, 'listedCount': 79, 'mediaCount': 7888, 'location': 'New Delhi, Mathura, Varanasi.', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1402659248627019781/b7u_H1aa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/450555578/1607342060', 'label': None}",New Delhi
2017-01-06 23:31:33+00:00,"VIMUDRIKARAN is Hindi for ""demonetization"". A new project exploring India's recent efforts to… https://t.co/1cQP1pl4jt","{'username': 'BryanBanducci', 'id': 360753771, 'displayname': 'Bryan Banducci', 'description': 'b. 1989. Bay Area native living in Brooklyn. Studied photography and journalism @sfsu. Cyclist, skateboarder, scorpio, friend instagram.com/bryanbanducci', 'rawDescription': 'b. 1989. Bay Area native living in Brooklyn. Studied photography and journalism @sfsu. Cyclist, skateboarder, scorpio, friend https://t.co/fSB0waTjbE', 'descriptionUrls': [{'text': 'instagram.com/bryanbanducci', 'url': 'http://instagram.com/bryanbanducci', 'tcourl': 'https://t.co/fSB0waTjbE', 'indices': (126, 149)}], 'verified': False, 'created': datetime.datetime(2011, 8, 23, 18, 20, 1, tzinfo=datetime.timezone.utc), 'followersCount': 343, 'friendsCount': 1607, 'statusesCount': 3134, 'favouritesCount': 8509, 'listedCount': 11, 'mediaCount': 169, 'location': 'BK, NY', 'protected': False, 'linkUrl': 'http://bryanbanducci.com', 'linkTcourl': 'https://t.co/fCYk6v8f3k', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/436641665936539649/k7Cu5NVn_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/360753771/1352408313', 'label': None}",New Delhi
2017-01-06 11:32:47+00:00,Did he knew that govt was implementing demonetization on Nov 8th 2016 in 1st place https://t.co/FzMClxtlPX,"{'username': 'jvsk3', 'id': 278475289, 'displayname': 'J Venkatesh', 'description': 'I am a emotionally charged person derives happiness from others happiness.', 'rawDescription': 'I am a emotionally charged person derives happiness from others happiness.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 4, 7, 10, 43, 39, tzinfo=datetime.timezone.utc), 'followersCount': 11452, 'friendsCount': 1541, 'statusesCount': 807776, 'favouritesCount': 181965, 'listedCount': 146, 'mediaCount': 2870, 'location': 'Andhra Pradesh', 'protected': False, 'linkUrl': 'http://page.is/j-venkat', 'linkTcourl': 'https://t.co/wyJHMYNCEz', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1496595860469129219/Ef8kCEZr_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
2017-01-06 11:30:35+00:00,"Nothing like telling it as it is from ground zero-- demonetization to poltics, no holds barred @ChanderudayUday @rajuparulekar @aroonpurie https://t.co/Yn6VVm793Z","{'username': 'indybad', 'id': 171830608, 'displayname': 'Indy Badhwar', 'description': 'author, editor, adventurer', 'rawDescription': 'author, editor, adventurer', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 7, 28, 7, 56, 39, tzinfo=datetime.timezone.utc), 'followersCount': 1667, 'friendsCount': 829, 'statusesCount': 13485, 'favouritesCount': 859, 'listedCount': 14, 'mediaCount': 277, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/378800000857770599/PDEBs6oZ_normal.jpeg', 'profileBannerUrl': None, 'label': None}",New Delhi
